src_ip,dst_ip
10.12.41.49,10.12.1.225
10.12.60.51,10.12.1.37
10.12.60.51,10.12.1.2
10.12.1.9,10.12.1.8
10.12.52.33,10.12.1.37
10.12.52.33,10.12.1.2
10.12.44.224,10.12.1.207
10.12.44.224,10.12.1.207
10.12.44.224,10.12.1.37
10.12.87.70,10.12.1.67
10.12.87.70,10.12.1.37
10.12.28.29,10.12.28.31
10.12.44.161,10.12.1.37
10.12.44.161,10.12.1.37
10.12.44.161,10.12.1.2
10.12.41.46,10.12.1.37
10.12.44.154,10.12.1.37
10.12.44.154,10.12.1.100
10.12.48.40,10.12.1.37
10.12.48.40,10.12.1.37
10.12.48.40,10.12.1.2
10.12.48.40,10.12.1.100
10.12.41.205,10.12.1.37
10.12.60.57,10.12.1.37
10.12.60.57,10.12.1.67
10.12.48.44,10.12.1.37
10.12.48.44,10.12.1.2
10.12.49.3,10.12.1.2
10.12.107.93,10.12.1.37
10.12.88.174,10.12.1.2
10.12.88.174,10.12.1.37
10.12.107.51,10.12.1.37
10.12.107.51,10.12.1.28
10.12.60.29,10.12.60.83
10.12.60.29,10.12.60.50
10.12.88.194,10.12.1.37
10.12.88.179,10.12.1.2
10.12.88.77,10.12.1.2
10.12.88.77,10.12.1.37
10.12.60.34,10.12.1.205
10.12.60.34,10.12.1.37
10.12.36.233,10.12.1.37
10.12.88.43,10.12.1.37
10.12.8.45,10.12.1.37
10.12.8.45,10.12.1.2
10.12.84.54,10.12.1.2
10.12.80.70,10.1.1.225
10.12.44.110,10.12.1.2
10.12.44.110,10.12.1.37
10.12.88.185,10.12.1.37
10.12.28.31,10.12.1.37
10.12.28.31,10.12.1.2
10.12.20.54,10.12.1.225
10.12.20.54,10.12.1.37
10.12.20.54,10.12.1.67
10.12.60.102,10.12.1.225
10.12.60.102,10.12.1.37
10.12.10.44,10.12.1.2
10.12.10.44,10.12.1.37
10.12.41.200,10.12.1.37
10.12.88.197,10.12.1.2
10.12.41.206,10.12.1.37
10.12.45.50,10.12.1.225
10.12.45.50,10.12.1.2
10.13.132.10,10.12.1.100
10.12.44.176,10.12.1.67
10.12.44.176,10.12.1.37
10.12.36.30,10.12.36.34
10.12.36.30,10.12.36.32
10.12.45.118,10.12.1.2
10.12.92.22,10.12.1.2
10.12.92.22,10.12.1.225
10.12.86.45,10.12.1.67
10.12.86.45,10.12.1.2
10.12.87.73,10.12.1.40
10.12.87.73,10.12.1.225
10.12.87.73,10.12.1.225
10.12.88.187,10.12.1.37
10.12.44.132,10.12.1.100
10.12.44.132,10.12.1.100
10.12.44.132,10.12.1.37
10.12.44.132,10.12.1.2
10.12.1.195,209.95.56.60
10.12.1.195,209.95.56.60
10.12.1.195,10.1.100.158
10.12.1.195,10.1.100.158
10.12.1.195,173.244.217.42
10.12.1.195,173.244.217.42
10.12.1.195,122.193.207.123
10.12.16.37,10.12.1.37
10.12.32.41,10.12.1.37
10.12.32.41,10.12.1.2
10.12.44.69,10.12.1.2
10.12.44.69,10.12.1.37
10.12.20.50,10.12.1.2
10.12.20.50,10.12.1.67
10.12.20.50,10.12.1.37
10.12.20.50,10.12.1.164
10.12.60.60,10.12.1.25
10.12.60.60,10.12.1.207
10.12.60.60,10.12.1.37
10.12.88.68,10.12.1.2
10.12.49.47,10.12.1.37
10.12.49.47,10.12.1.100
10.12.49.47,10.12.1.37
10.12.24.45,10.12.1.37
10.12.90.64,10.12.1.37
10.12.87.33,10.12.1.37
10.12.87.33,10.12.1.40
10.12.87.33,10.12.1.40
10.12.2.30,10.12.20.32
10.12.2.30,10.12.20.54
10.12.2.30,10.12.20.39
10.12.2.30,10.12.28.41
10.12.2.30,10.12.20.47
10.12.44.93,10.12.1.225
10.12.44.93,10.12.1.37
10.12.60.71,10.12.1.37
10.12.60.71,10.12.1.2
10.12.60.71,10.12.1.225
10.12.92.11,10.12.1.2
10.12.45.43,10.12.1.2
10.12.45.43,10.12.1.37
10.12.44.130,10.12.1.100
10.12.44.130,10.12.1.37
10.12.1.31,10.0.11.5
10.12.88.80,10.12.1.37
10.12.52.39,10.12.1.2
10.12.52.39,10.12.1.37
10.12.45.74,10.12.1.2
10.12.44.88,10.12.1.37
10.12.44.88,10.12.1.2
10.12.44.88,10.12.1.225
10.12.44.88,10.12.1.225
10.12.44.88,10.12.1.37
10.12.86.22,10.12.1.225
10.12.86.22,10.12.1.2
10.12.8.29,10.12.8.50
10.12.106.29,10.12.1.37
10.12.88.54,10.12.1.37
10.12.88.54,10.12.1.67
10.12.44.54,10.12.1.37
10.12.10.59,10.12.1.67
10.12.10.59,10.12.1.67
10.12.10.59,10.12.1.225
10.12.10.59,10.12.1.37
10.12.52.70,10.12.1.37
10.12.52.70,10.12.1.2
10.12.90.31,10.12.1.37
10.12.44.39,10.12.44.53
10.12.44.39,10.12.1.37
10.12.88.167,10.12.1.37
10.12.60.69,10.12.1.225
10.12.60.69,10.12.1.37
10.12.44.57,10.12.1.2
10.12.44.151,10.12.1.37
10.12.49.74,10.12.1.2
10.12.49.74,10.12.1.2
10.12.49.74,10.12.1.37
10.12.49.74,10.12.1.100
10.12.90.66,10.12.1.37
10.12.88.36,10.12.1.2
10.12.41.45,10.12.1.2
10.12.41.45,10.12.1.37
10.12.88.180,10.12.1.37
10.12.44.124,10.12.1.2
10.12.44.124,10.12.1.37
10.12.49.61,10.12.1.207
10.12.49.61,10.12.1.37
10.12.49.61,10.12.1.37
10.12.49.61,10.12.1.100
10.12.49.61,10.12.1.100
10.12.49.61,10.12.1.100
10.12.49.61,10.12.1.2
10.12.49.61,10.12.1.207
10.12.3.19,10.12.3.1
10.12.44.116,10.12.1.37
10.12.44.116,10.12.1.2
10.12.45.119,10.12.1.37
10.12.45.119,10.12.1.37
10.12.52.58,10.12.1.2
10.12.52.58,10.12.1.37
10.12.41.48,10.12.1.2
10.12.41.48,10.12.1.2
10.12.41.48,10.12.1.37
10.12.80.53,10.12.1.2
10.12.24.37,10.12.1.37
10.12.24.37,10.12.1.67
10.12.45.53,10.12.1.2
10.12.45.53,10.12.1.37
10.12.107.19,10.12.1.37
10.12.10.102,10.12.1.37
10.12.28.4,10.12.1.2
10.12.45.29,10.12.45.43
10.12.45.29,10.12.45.61
10.12.45.29,10.12.45.119
10.12.64.36,10.12.1.37
10.12.45.40,10.12.1.2
10.12.45.40,10.12.1.37
10.12.8.38,10.12.1.37
10.12.8.38,10.12.1.225
10.12.8.38,10.12.1.40
10.12.88.193,10.12.1.37
10.12.88.35,10.12.1.37
10.12.45.30,10.12.45.43
10.12.45.30,10.12.45.61
10.12.45.30,10.12.45.119
10.12.41.208,10.12.1.225
10.12.41.208,10.12.1.37
10.12.88.184,10.12.1.37
10.12.44.85,10.12.1.2
10.12.88.207,10.12.1.37
10.12.44.94,10.12.1.37
10.12.44.94,10.12.44.77
10.12.44.94,10.12.1.67
10.12.36.232,10.12.1.37
10.12.60.88,10.12.1.37
10.12.60.88,10.12.1.2
10.12.60.88,10.12.1.40
10.12.42.41,10.12.1.37
10.12.42.41,10.12.1.2
10.12.48.37,10.12.1.37
10.12.48.37,10.12.1.100
10.12.44.167,10.12.1.37
10.12.88.41,10.12.1.37
10.12.45.132,10.12.1.37
10.12.45.132,10.12.1.2
10.12.107.116,10.12.1.37
10.12.107.122,10.12.1.37
10.12.41.214,10.12.1.37
10.12.44.234,10.12.1.100
10.12.44.234,10.12.1.225
10.12.49.35,10.12.1.37
10.12.20.30,10.12.20.50
10.12.20.30,10.12.20.47
10.12.45.124,10.12.1.2
10.12.88.173,10.12.1.37
10.12.90.47,10.12.1.37
10.12.88.61,10.12.1.37
10.12.88.61,10.12.1.2
10.14.32.141,10.12.1.2
10.14.32.141,10.12.1.2
10.12.41.209,10.12.1.37
10.12.3.15,10.12.3.1
10.12.49.65,10.12.1.2
10.12.49.65,10.12.1.2
10.12.49.65,10.12.1.37
10.12.8.52,10.12.1.37
10.12.87.43,10.12.1.37
10.12.20.31,10.12.1.37
10.12.20.31,10.12.1.67
10.12.107.13,10.12.1.37
10.12.49.45,10.12.1.37
10.12.49.45,10.12.1.37
10.12.49.45,10.12.1.2
10.12.107.109,10.12.1.37
10.12.60.66,10.12.1.37
10.12.41.213,10.12.1.37
10.12.41.203,10.12.1.37
10.12.68.43,10.12.1.40
10.12.68.43,10.12.1.2
10.12.68.43,10.12.1.37
10.12.60.56,10.12.1.67
10.12.60.56,10.12.1.37
10.12.1.120,10.12.1.67
10.12.88.59,10.12.1.2
10.12.88.59,10.12.1.37
10.12.60.50,10.12.1.2
10.12.60.50,10.12.1.37
10.12.41.239,10.12.1.37
10.12.60.32,10.12.1.37
10.12.32.31,10.12.1.67
10.12.32.31,10.12.1.225
10.12.32.31,10.12.1.37
10.12.88.221,10.12.1.37
10.12.88.221,10.12.1.37
10.12.45.70,10.12.1.37
10.12.45.70,10.12.1.2
10.12.20.49,10.12.1.37
10.12.41.211,10.12.1.37
10.12.87.113,10.12.1.37
10.12.87.113,10.12.1.2
10.12.86.43,10.12.1.37
10.12.86.43,10.12.1.2
10.12.86.43,10.12.1.100
10.12.86.43,10.12.1.100
10.12.48.41,10.12.1.37
10.12.86.31,10.12.1.37
10.13.45.119,10.12.1.100
10.12.16.30,10.12.16.32
10.12.88.214,10.12.1.37
10.12.41.42,10.12.1.37
10.12.88.178,10.12.1.37
10.12.2.40,10.12.60.51
10.12.2.40,10.12.60.35
10.12.24.29,10.12.1.2
10.12.24.29,10.12.24.45
10.12.24.29,10.12.24.36
10.12.48.36,10.12.1.37
10.12.48.36,10.12.1.2
10.12.20.32,10.12.1.67
10.12.20.32,10.12.1.37
10.12.107.74,10.12.1.225
10.12.107.74,10.12.1.37
10.12.2.84,10.12.52.48
10.12.2.84,10.12.52.39
10.12.2.84,10.12.52.55
10.12.2.84,10.12.1.37
10.12.2.84,10.12.52.56
10.12.2.84,10.12.52.64
10.12.2.84,10.12.52.54
10.12.44.63,10.12.1.37
10.12.44.63,10.12.1.2
10.12.88.64,10.12.1.37
10.12.88.64,10.12.1.2
10.12.60.45,10.12.1.67
10.12.60.45,10.12.1.37
10.12.36.29,10.12.36.34
10.12.36.29,10.12.36.32
10.12.36.29,10.12.1.2
10.12.28.37,10.12.1.37
10.12.28.37,10.12.8.5
10.12.28.37,10.12.8.5
10.12.28.37,10.12.8.5
10.12.28.37,10.12.8.16
10.12.28.37,10.12.1.67
10.12.72.36,10.12.1.195
10.12.72.36,10.12.1.2
10.12.72.36,10.12.1.2
10.12.72.36,10.12.1.37
10.12.20.47,10.12.20.2
10.12.20.47,10.12.1.37
10.12.20.47,10.12.1.2
10.12.60.61,10.12.1.207
10.12.60.61,10.12.1.2
10.12.60.61,10.12.1.37
10.12.41.217,10.12.1.225
10.12.41.217,10.12.1.225
10.12.41.217,10.12.1.2
10.12.41.217,10.12.1.37
10.12.41.31,10.12.1.225
10.12.41.31,10.12.1.225
10.12.41.31,10.12.1.37
10.12.41.31,10.12.1.2
10.12.86.44,10.12.1.2
10.12.86.44,10.12.1.37
10.12.86.44,10.12.1.100
10.12.88.90,10.12.1.37
10.12.87.47,10.12.1.2
10.12.36.41,10.12.1.37
10.12.36.41,10.12.1.2
10.12.45.94,10.12.1.67
10.12.44.177,10.12.1.37
10.12.44.177,10.12.1.100
10.12.44.177,10.12.1.2
10.12.41.199,10.12.1.37
10.12.16.33,10.12.1.37
10.12.16.33,10.12.1.2
10.12.88.62,10.12.1.37
10.12.48.45,10.12.1.2
10.12.48.45,10.12.1.2
10.12.48.45,10.12.1.37
10.12.48.45,10.12.1.40
10.12.48.45,10.12.1.40
10.12.90.55,10.12.1.67
10.12.90.55,10.12.1.37
10.12.44.138,10.12.44.146
10.12.44.138,10.12.44.146
10.12.44.138,10.12.1.37
10.12.44.138,10.12.44.99
10.12.44.138,10.12.44.108
10.12.44.138,10.12.44.108
10.12.49.71,10.12.1.37
10.12.36.230,10.12.1.37
10.12.36.230,10.12.92.27
10.12.10.108,10.12.1.37
10.12.10.108,10.12.1.205
10.12.41.202,10.12.1.37
10.12.41.202,10.12.1.28
10.12.2.73,10.12.44.180
10.12.2.73,10.12.44.99
10.12.2.73,10.12.44.85
10.12.2.73,10.12.44.69
10.12.2.73,10.12.44.124
10.12.2.73,10.12.44.116
10.12.71.4,10.12.1.207
10.12.72.50,10.12.1.2
10.12.72.50,10.12.1.37
10.12.42.46,10.12.1.37
10.12.42.46,10.12.1.2
10.12.8.32,10.12.1.2
10.12.8.32,10.12.1.37
10.12.8.32,10.12.1.225
10.12.44.15,10.12.1.2
10.12.107.73,10.12.1.37
10.12.44.165,10.12.1.37
10.12.44.165,10.12.1.2
10.12.44.242,10.12.1.2
10.12.41.215,10.12.1.225
10.12.41.215,10.12.1.225
10.12.41.215,10.12.1.37
10.12.49.46,10.12.1.2
10.12.49.46,10.12.1.218
10.12.49.46,10.12.1.207
10.12.49.46,10.12.1.37
10.12.49.46,10.12.1.100
10.12.80.11,10.12.1.2
10.12.80.11,10.12.80.53
10.12.64.34,10.12.1.2
10.12.64.34,10.12.1.37
10.12.42.44,10.12.1.2
10.12.42.44,10.12.1.37
10.12.1.58,10.12.45.28
10.12.80.69,10.12.1.37
10.13.132.50,10.12.1.100
10.13.132.50,10.12.1.100
10.12.92.32,10.12.36.233
10.12.48.52,10.12.1.37
10.12.48.52,10.12.1.2
10.12.49.63,10.12.1.37
10.12.49.63,10.12.1.2
10.12.48.59,10.12.1.40
10.12.48.59,10.12.1.2
10.12.56.36,10.12.1.2
10.12.56.36,10.12.1.37
10.12.2.83,10.12.44.75
10.12.2.83,10.12.52.58
10.12.2.83,10.12.44.234
10.12.2.83,10.12.44.154
10.12.45.73,10.12.1.2
10.12.45.73,10.12.1.37
10.12.45.73,10.12.1.40
10.12.45.73,10.12.1.40
10.12.90.60,10.12.1.225
10.12.90.60,10.12.1.225
10.12.90.60,10.12.1.225
10.12.90.60,10.12.1.37
10.12.90.60,10.12.1.100
10.12.90.60,10.12.1.100
10.12.45.201,10.12.1.37
10.12.45.201,10.12.45.32
10.12.45.201,10.12.45.32
10.12.45.201,10.12.45.32
10.12.90.53,10.12.1.37
10.12.90.53,10.12.1.38
10.12.44.145,10.12.1.37
10.12.106.8,10.12.1.37
10.12.44.155,10.12.44.15
10.12.44.155,10.12.1.37
10.12.44.155,10.12.1.2
10.12.52.64,10.12.1.225
10.12.52.64,10.12.1.67
10.12.52.64,10.12.1.37
10.12.52.64,10.12.1.194
10.12.88.72,10.12.1.37
10.12.88.72,10.12.1.2
10.12.88.72,10.12.1.225
10.12.88.72,10.12.1.225
10.12.3.18,10.12.3.1
10.12.41.52,10.12.1.37
10.12.44.30,10.12.44.108
10.12.44.30,10.12.44.94
10.12.44.30,10.12.44.145
10.12.44.30,10.12.44.167
10.12.44.30,10.12.44.35
10.12.44.30,10.12.44.130
10.12.44.30,10.12.44.130
10.12.44.30,10.12.44.122
10.12.52.30,10.12.52.39
10.12.52.30,10.12.52.56
10.12.1.196,173.244.217.42
10.12.1.196,173.244.217.42
10.14.96.246,10.12.1.195
10.12.60.83,10.12.1.37
10.12.60.83,10.12.1.2
10.12.60.83,10.12.1.207
10.12.60.83,10.12.1.218
10.12.87.94,10.12.1.225
10.12.88.189,10.12.1.225
10.12.88.189,10.12.1.37
10.12.1.56,10.12.2.78
10.12.1.56,10.12.2.80
10.12.32.34,10.12.1.2
10.12.32.34,10.12.1.225
10.12.32.34,10.12.1.37
10.12.48.42,10.12.1.37
10.12.48.42,10.12.1.100
10.12.48.42,10.12.1.100
10.12.48.42,10.12.1.2
10.12.16.29,10.12.16.32
10.12.87.9,10.12.1.2
10.12.88.78,10.12.1.225
10.12.88.78,10.12.1.225
10.12.88.78,10.12.1.2
10.12.88.78,10.12.1.37
10.12.41.238,10.12.1.37
10.12.49.44,10.12.1.37
10.12.49.44,10.12.1.100
10.12.49.44,10.12.1.100
10.12.49.44,10.12.1.100
10.12.49.44,10.12.1.2
10.12.92.12,10.12.80.18
10.12.88.47,10.12.1.37
10.12.52.34,10.12.1.2
10.12.52.34,10.12.1.2
10.12.88.200,10.12.1.37
10.13.132.49,10.12.1.100
10.12.42.45,10.12.1.37
10.12.42.45,10.12.1.2
10.12.8.30,10.12.8.50
10.12.44.75,10.12.1.225
10.12.44.40,10.12.1.37
10.12.36.32,10.12.92.12
10.12.36.32,10.12.1.2
10.12.36.32,10.12.1.2
10.12.36.32,10.12.1.37
10.12.88.171,10.12.1.37
10.12.88.156,10.12.1.37
10.12.88.156,10.12.1.2
10.12.56.33,10.12.1.2
10.12.56.33,10.12.1.225
10.12.45.113,10.12.1.2
10.12.45.113,10.12.1.100
10.12.45.113,10.12.1.225
10.12.45.113,10.12.1.37
10.12.60.58,10.12.1.2
10.12.60.58,10.12.1.37
10.12.90.14,10.12.1.2
10.12.80.72,10.12.1.37
10.12.42.37,10.12.1.37
10.12.42.37,10.12.1.2
10.12.49.70,10.12.1.225
10.12.49.70,10.12.1.37
10.12.49.70,10.12.1.2
10.12.32.37,10.12.1.40
10.12.32.37,10.12.1.37
10.12.90.44,10.12.1.37
10.12.90.44,10.12.1.100
10.12.60.68,10.12.1.2
10.12.60.68,10.12.1.37
10.12.87.125,10.12.1.2
10.12.87.125,10.12.1.225
10.12.88.210,10.12.1.37
10.12.88.210,10.12.1.225
10.12.60.93,10.12.1.37
10.12.60.93,10.12.1.2
10.12.44.146,10.12.1.37
10.12.200.1,10.12.200.7
10.12.200.1,10.12.208.2
10.12.200.1,10.12.204.4
10.12.200.1,10.12.204.1
10.12.200.1,10.12.204.1
10.12.200.1,10.12.204.3
10.12.200.1,10.12.204.4
10.12.200.1,10.12.204.2
10.12.200.1,10.12.208.1
10.12.49.49,10.12.1.2
10.12.49.49,10.12.1.37
10.12.10.106,10.12.10.13
10.12.10.106,10.12.1.37
10.12.45.34,10.12.1.37
10.12.45.34,10.12.1.2
10.12.28.41,10.12.1.37
10.12.28.41,10.12.1.2
10.12.41.210,10.12.1.37
10.12.2.74,10.12.44.167
10.12.2.74,10.12.44.151
10.12.2.74,10.12.44.88
10.12.2.74,10.12.44.176
10.12.2.74,10.12.44.71
10.12.2.74,10.12.44.93
10.12.2.74,10.12.44.151
10.12.2.74,10.12.44.110
10.12.2.74,10.12.44.66
10.12.2.74,10.12.44.155
10.12.2.74,10.12.44.63
10.12.84.35,10.12.1.37
10.12.84.35,10.12.1.2
10.12.88.76,10.12.1.2
10.12.56.32,10.12.1.37
10.12.56.32,10.12.1.2
10.12.44.35,10.12.1.37
10.12.90.38,10.12.1.37
10.12.45.64,10.12.45.26
10.12.45.64,10.12.1.37
10.12.45.64,10.12.1.100
10.12.45.64,10.12.1.100
10.12.20.34,10.12.72.3
10.12.20.34,10.12.1.2
10.12.87.53,10.12.1.2
10.13.132.91,10.12.1.100
10.13.132.91,10.12.1.100
10.12.8.50,10.12.1.37
10.12.44.134,10.12.1.225
10.12.44.134,10.12.1.37
10.12.49.58,10.12.1.2
10.12.24.36,10.12.1.67
10.12.24.36,10.12.1.37
10.12.32.30,10.12.1.2
10.12.48.201,10.12.1.2
10.12.45.129,10.12.1.230
10.12.45.129,10.12.200.1
10.12.45.129,10.12.200.1
10.12.45.129,10.12.1.2
10.12.88.206,10.12.1.37
10.12.41.204,10.12.1.37
10.12.44.70,10.12.1.37
10.12.44.70,10.12.1.2
10.12.28.40,10.12.1.2
10.12.28.40,10.12.52.16
10.12.28.40,10.12.1.2
10.12.28.40,10.12.10.17
10.12.28.40,10.12.1.37
10.12.88.170,10.12.1.37
10.12.42.33,10.12.1.2
10.12.42.33,10.12.1.37
10.12.42.33,10.12.1.37
10.12.87.59,10.12.1.37
10.12.45.212,10.12.1.100
10.12.45.212,10.12.1.37
10.12.45.212,10.12.1.37
10.12.2.54,10.12.84.45
10.12.2.54,10.12.84.35
10.12.49.52,10.12.1.225
10.12.49.52,10.12.1.225
10.12.49.52,10.12.1.37
10.12.49.52,10.12.1.100
10.12.86.32,10.12.1.225
10.12.86.32,10.12.1.225
10.12.86.32,10.12.1.37
10.12.49.59,10.12.1.2
10.12.49.59,10.12.1.218
10.12.49.59,10.12.1.207
10.12.49.59,10.12.1.37
10.12.80.18,10.12.1.196
10.12.49.33,10.12.1.37
10.12.49.33,10.12.1.37
10.12.56.31,10.12.1.37
10.12.56.31,10.12.1.225
10.12.56.31,10.12.1.2
10.12.28.30,10.12.28.31
10.12.92.101,10.12.1.2
10.12.92.101,10.12.1.2
10.12.52.31,10.12.1.37
10.12.52.31,10.12.1.67
10.12.106.35,10.12.1.37
10.12.107.4,10.12.1.37
10.12.105.2,10.12.1.225
10.12.90.50,10.12.1.37
10.12.42.40,10.12.1.37
10.12.42.40,10.12.1.2
10.12.28.32,10.12.1.37
10.12.28.32,10.12.1.2
10.12.88.168,10.12.1.37
10.12.44.108,10.12.1.37
10.12.16.32,10.12.1.25
10.12.16.32,10.12.1.37
10.12.16.32,10.12.20.248
10.12.2.50,10.12.1.37
10.12.90.62,10.12.1.100
10.12.90.62,10.12.1.100
10.12.90.62,10.12.1.37
10.12.90.62,10.12.1.207
10.12.49.15,10.12.1.37
10.12.64.32,10.12.1.37
10.12.64.32,10.12.1.2
10.12.8.40,10.12.1.37
10.12.8.40,10.12.1.67
10.12.88.204,10.12.1.67
10.12.8.31,10.12.1.2
10.12.8.31,10.12.1.2
10.12.8.31,10.12.1.37
10.12.44.77,10.12.1.37
10.12.44.77,10.12.1.207
10.12.44.77,10.12.1.207
10.12.44.77,10.12.1.100
10.12.44.77,10.12.1.100
10.12.44.77,10.12.1.194
